Datetime,BC1,BC2,BC3,BC4,BC5,BC6,BC7
2018-02-16 15:20:00,3860.87281878,3852.69717161,3770.85103345,3977.51808278,3833.65449208,3786.23123609,3597.52466785
2018-02-16 15:22:00,3568.80915675,3750.90444054,3509.6181473,3514.33327648,3788.97396037,3547.04513169,3492.50477051
2018-02-16 15:24:00,3574.71085388,3578.47563009,3546.28196421,3565.37853378,3607.65211574,3313.80663525,3186.34002223
2018-02-16 15:26:00,3429.09962301,3532.52275251,3510.81291388,3542.07815875,3529.70950447,3488.40771215,3489.31787295
2018-02-16 15:28:00,3457.9960177,3629.56463593,3419.63318512,3433.23865115,3731.64211064,3429.00780165,3252.04321474
2018-02-16 15:30:00,3456.57047098,3424.41589585,3322.60813613,3439.28407565,3398.67507693,3721.10202316,3951.65030647
2018-02-16 15:32:00,4101.07350954,4297.84176568,4153.74344024,4197.44189523,4294.32831235,3741.09720625,3388.34819547
2018-02-16 15:34:00,3256.48344745,3447.40018848,3338.27384144,3511.35276446,3305.87601964,3032.88214947,2883.08943911
2018-02-16 15:36:00,3064.537812,3065.48630125,2924.84284258,2993.00653859,3496.01144623,3360.97568012,3266.26666975
2018-02-16 15:38:00,3194.83267213,3254.52643334,3241.17109126,3249.30249466,3017.76131319,2837.95043082,2806.70571354
2018-02-16 15:40:00,3193.8891138,3185.79271272,3124.3503486,2946.7426527,3193.44562881,2898.40246455,2960.06703251
2018-02-16 15:42:00,3023.45224164,3184.33714865,2991.5669873,3303.60096712,3150.65684717,3121.98512111,2915.00017925
2018-02-16 15:44:00,3098.68712877,3007.67888086,3139.62690103,3399.90837918,3655.89124195,3315.1679263,3233.62860809
2018-02-16 15:46:00,3651.90236295,3762.44772923,3402.37563384,3148.69655481,3066.25270449,3000.9471366,2810.09888957
2018-02-16 15:48:00,3233.81523391,3397.15810786,3166.44348482,3380.73995067,3522.46804944,3257.78608457,3187.80598767
2018-02-16 15:50:00,3477.72298843,3175.52956625,3045.60371872,2882.68370916,3243.96485639,2972.95069459,2914.43632197
2018-02-16 15:52:00,3291.38592762,3298.13361989,3252.62698541,3283.85052046,3342.30940675,3070.79652296,2929.2282094
2018-02-16 15:54:00,2886.37979787,3024.06140796,2895.47228858,2860.20714743,3065.33553583,2893.82892967,3026.22263561
2018-02-16 15:56:00,3340.2237755,3243.36937481,3172.38376319,3261.90152493,3145.88060517,2917.34471618,2762.92693572
2018-02-16 15:58:00,2911.81940329,3291.53170365,3208.88213106,3233.31748015,3124.85708218,3040.78576939,2803.99033494
2018-02-16 16:00:00,3195.49907893,2835.41892473,2770.68721248,2809.78249039,3069.46470378,2701.97855864,2616.27341271
2018-02-16 16:02:00,2565.87523478,2918.69088685,2736.61236952,2799.38320499,2863.32307055,2742.38879836,2829.19793692
2018-02-16 16:04:00,2860.10613683,2835.71211845,2775.87772398,2905.58075052,3124.48543342,2824.33804501,2664.58264378
2018-02-16 16:06:00,2932.17005896,2980.43051365,2902.2133731,2883.04885161,3040.11815945,2882.96846954,2836.52297468
